polish,english,other,type
przyczepić,to attach II (once),,
przyczyna,cause/reason,,
przyczyniać się do czegoś,to contribute to something (repeated),,
przyczynić się do czegoś,to contribute to something (once),,
przydatny,useful,,
przydawać się,to come in useful (repeated),,
przydać się,to come in useful (once),,
przygarniać,to take in (repeated),,
przygarnąć,to take in (once),,
przyglądać się,to observe (repeated),,
przygniatać,to overwhelm (repeated),,
przygnieciesz (przygnieść),You will overwhelm,,
przygnieść,to overwhelm (once),,
przygniotę (przygnieść),I will overwhelm,,
przygnębiać,to depress (repeated),,
przygnębiony,depressed/down,,
przygnębić,to depress (once),,
przygotowanie,preparation,,
przygotowany,prepared,,
przygotować,to prepare I (once),,
przygotowywać,to prepare I (repeated),,
przyimek,preposition,,
przyjazny,friendly,,
przyjdziesz (przyjść),You will come/arrive (on foot),,
przyjdę (przyjść),I will come/arrive (on foot),,
przyjdź (przyjść),Come! (on foot) (once),,
przyjechać,to arrive (by vehicle) (once),,
przyjemność,pleasure,,
przyjeżdżać,to arrive (by vehicle) (repeated),,
przyjmować,to accept (repeated),,
przyjrzeć się,to observe (once),,
przyjąć,to accept (once),,
przyjęcie,party,,
przyjęty,accepted,,
przyjść,to come/arrive (on foot) (once),,
przykro mi,I'm sorry,,
przykrość,distress,,
przykry,unpleasant/annoying,,
przykrywać,to cover (repeated),,
przykryć,to cover (once),,
przykuwać,to enchain/confine (repeated),,
przykuć,to enchain/confine (once),,
przykładać się do czegoś,to apply oneself to something (repeated),,
przymierzać,to try on (repeated),,
przymierzyć,to try on (once),,
przymiotnik,adjective,,
przymocować coś do czegoś,to fasten something to something (once),,
przymocowywać coś do czegoś,to fasten something to something (repeated),,
przymus,compulsion/constraint/coercion,,
przynajmniej,at least,,
przynależność,affiliation/membership,,
przyniesiesz (przynieść),You will bring (on foot),,
przynieś (przynieść),Bring! (on foot) (once),,
przynieść,to bring (on foot) (once),,
przyniosę (przynieść),I will bring (on foot),,
przynosisz (przynosić),You are bringing (on foot),,
przynosić,to bring (on foot) (repeated),,
przynoszę (przynosić),I am bringing (on foot),,
przynoś (przynosić),Bring! (on foot) (repeated),,
przynęta,bait II,,
przypadek,"accident (as in, coincidence)",,
przypiec,to scorch/toast (once),,
przypiekać,to scorch/toast (repeated),,
przypinać się,to strap oneself (repeated),,
przypiąć się,to strap oneself (once),,
przypniesz się (przypiąć się),You will strap yourself,,
przypnę się (przypiąć się),I will strap myself,,
przypominać sobie,to recall/remember (repeated),,
przypomnieć sobie,to recall/remember (once),,
przyprawa,spice/seasoning,,
przyprowadzać,to bring (repeated),,
przyprowadzić,to bring (once),,
przypuszczać,to suppose/assume,,
przypuszczenie,supposition/assumption,,
przypływ,high tide,,
przyroda,nature,,
przyrzec,to promise II (once),,
przyrzekać,to promise II (repeated),,
przyrzekniesz (przyrzec),You will promise,,
przyrzeknę (przyrzec),I will promise,,
przyrząd,instrument/apparatus,,
przysięga,oath/swearing,,
przyspieszać,to accelerate (repeated),,
przyspieszyć,to accelerate (once),,
przystanek,bus/tram stop,,
przystawka,starter,,
przystosować,to adjust/adapt (once),,
przystosowywać,to adjust/adapt (repeated),,
przyswajać,to absorb/internalize/assimilate (repeated),,
przyswoić,to absorb/internalize/assimilate (once),,
przyszykować,to prepare II (once),,
przyszły,coming/future,,
przysłuchać się,to listen in (once),,
przysłuchiwać się,to listen in (repeated),,
przysługa,favour,,
przysłówek,adverb,,
przytaczać,to quote (repeated),,
przytoczyć,to quote (once),,
przytomność,consciousness,,
przytrafiać się,to (be)chance (repeated),,
przytrafić się,to (be)chance (once),,
przytul (przytulić),Hug/cuddle! (once),,
przytulaj (przytulać),Hug/cuddle! (repeated),,
przytulam (przytulać),I am hugging/cuddling,,
przytulasz (przytulać),You are hugging/cuddling,,
przytulać,to hug/cuddle (repeated),,
przytulisz (przytulić),You will hug/cuddle,,
przytulić,to hug/cuddle (once),,
przytulny,cosy/snug,,
przytulę (przytulić),I will hug/cuddle,,
przytułek,poorhouse or shelter,,
przytwierdzać,to attach I (repeated),,
przytwierdzić,to attach I (once),,
przytyć,to gain weight (once),,
przytłumiony,muffled,,
przywitać,to welcome (once),,
przywracać,to restore (repeated),,
przywrócić,to restore (once),,
przywykać do kogoś/czegoś,to get used to somebody/something (repeated),,
przywyknąć do kogoś/czegoś,to get used to somebody/something (once),,
przywódca,leader,,
przyznawać się,"to confess to, to own up to (repeated)",,
przyznać się,"to confess to, to own up to (once)",,
przyzwoity,decent/respectable,,
przyzwolenie,consent,,
przyzwyczaisz (przyzwyczaić),You will get accustomed,,
przyzwyczaić,to get accustomed (once),,
przyzwyczajać,to get accustomed (repeated),,
przyzwyczajenie,habit,,
przyzwyczajony,accustomed,,
przyzwyczaję (przyzwyczaić),I will get accustomed,,
przyłożyć się do czegoś,to apply oneself to something (once),,
przyłączać się,to join I (repeated),,
przyłączyć się,to join I (once),,
przyśnić się,to dream about (once),,
przód,front,,
próba,try,,
próg,doorstep/threshold,,
próżnia,vacuum/void,,
próżny,vain/futile,,
prąd,electricity,,
prążkowany,striped II,,
prędkość,speed,,
prędzej,quicker,,
prężny,supple/springy/buoyant,,
prężyć,to flex/tighten (repeated),,
psotnik,prankster,,
pstrykać,to snap/flick (fingers) (repeated),,
pstryknąć,to snap/flick (fingers) (once),,
psuć,to break/spoil/ruin (repeated),,
psychiczny,psychic,,
psychika,psyche,,
pszenica,wheat,,
publicysta,columnist,,
puchar,sports cup,,
pudełko,box,,
pudrować,to powder (repeated),,
pustawy,almost empty/deserted,,
pustelnik,hermit,,
pustka,emptiness,,
pustkowie,wilderness,,
pustoszyć,to ravage/desolate (repeated),,
pustynia,desert,,
puszcza,primeval forest,,
puszczać,to let go (repeated),,
puszka,can/tin,,
puszysty,fluffy,,
pułapka,trap,,
pułkownik,colonel,,
puścić,to let go (once),,
pyskować,to talk/answer back,,
pył,dust,,
pójdziesz (pójść),You will go,,
pójdę (pójść),I will go,,
pójdź (pójść),Go! (once),,
pół miliona,half a million,,
pół tysiąca,half a thousand,,
półka,shelf,,
półmisek,platter,,
półmrok,half-light/semi-darkness,,
północ,north,,
półtora,one and a half,,
później,later,,
pąsowy,bright red,,
pęczniejesz (pęcznieć),You are swelling,,
pęcznieję (pęcznieć),I am swelling,,
pęcznieć,to swell (repeated),,
pęd,sprout/rush,,
pękać,to crack (repeated),,
pęknięcie,rupture,,
pęknięty,cracked,,
pęknąć,to crack (once),,
pępek,belly button,,
pęta,fetters,,
płacisz (płacić),You are paying (for),,
płacić,to pay (for) (repeated),,
płacę (płacić),I am paying (for),,
płaski,flat,,
płaskowyż,plateau,,
płać (płacić),Pay! (repeated),,
płeć,sex,,
płochliwy,coy/shy/skittish,,
płodność,fertility,,
płomienny,blazing/fiery/passionate,,
płomień,flame,,
płoszyć,to startle/scare/spook (repeated),,
płot,fence I,,
płowieć,to fade/bleach (repeated),,
płuco,lung,,
płucz (płukać),Rinse! (repeated),,
płuczesz (płukać),You are rinsing,,
płuczę (płukać),I am rinsing,,
płukać,to rinse (repeated),,
płyn,liquid,,
płynnie,fluently/smoothly,,
płyta,plate/tile/flagstone/slab,,
rabat,discount/rebate,,
rabować,to rob/steal (repeated),,
rabuś,robber,,
rachuba,count/calculation,,
raczkować,to crawl (as a baby),,
rada,advice,,
radosny,joyful,,
raj,paradise,,
rajstopy,tights,,
ramię,arm/shoulder,,
ramka,frame,,
randka,date (romantic),,
ranisz (ranić),You are wounding/hurting,,
ranić,to wound/hurt (repeated),,
ranię (ranić),I am wounding/hurting,,
rata,instalment,,
ratować,to rescue/save I (repeated),,
ratunek,rescue/help,,
ratusz,town/city hall,,
rań (ranić),Wound/hurt! (repeated),,
reagować,to react (repeated),,
recenzja,review,,
recepta,prescription,,
rechot,croak/cackle,,
redagować,to edit (repeated),,
reguła,rule,,
rejestrować,to register (repeated),,
rejon,region,,
rejs,voyage/flight,,
rekin,shark,,
reklamacja,complaint II,,
reklamować,to advertise (repeated),,
remis,(a) draw,,
rewanż,rematch (revenge),,
robak,bug,,
rocznica,anniversary,,
roczny,annual/yearly,,
rodak,compatriot/countryman,,
rodowity,native III,,
rodzaj,type,,
rodzeństwo,siblings,,
rodzicielstwo,parenthood,,
rodzimy,native II,,
rodzić,to give birth to (repeated),,
roić się,to swarm (repeated),,
rondo,roundabout,,
rosnąć,to grow (repeated),,
rosnę (rosnąć),I am growing,,
roszczenie,(legal) claim,,
rowerzysta,cyclist,,
rowerzyści,cyclists,,
rozbawiać,to amuse (repeated),,
rozbawić,to amuse (once),,
rozbierać,to undress (repeated),,
rozbijać,to break/shatter (repeated),,
rozbitek,castaway,,
rozbić,to break/shatter (once),,
rozbrojenie,disarmament,,
rozbrykany,frisky,,
rozbrzmiewać,to resound (repeated),,
rozbrzmieć,to resound (once),,
rozbudowa,development/extension/expansion,,
rozchmurzać się,to clear/brighten/cheer up (repeated),,
rozchmurzyć się,to clear/brighten/cheer up (once),,
rozchylać,"to part, to half-open (repeated)",,
rozchylić,"to part, to half-open (once)",,
rozciągać,to spread (repeated),,
rozciągnąć,to spread (once),,
rozczarowany,disappointed I,,
rozczarować się,to be disappointed (once),,
rozczarowywać się,to be disappointed (repeated),,
rozczochrany,dishevelled/unkempt,,
rozdział,chapter,,
rozebrać,to undress (once),,
rozejrzeć się,to look around (once),,
rozerwać,to tear (apart) (once),,
roześmiać się,to laugh out loud,,
rozgarnięty,sharp-witted,,
rozglądać się,to look around (repeated),,
rozgniewać się,to be angry (once),,
rozgorzeć,to flare up,,
rozgościć się,to make oneself at home,,
rozgłaszać,to broadcast (repeated),,
rozgłosić,to broadcast (once),,
rozjaśniać,to light up (repeated),,
rozjaśnić,to light up (once),,
rozjuszony,furious II,,
rozkapryszony,moody/tetchy,,
rozkaz,order/command,,
rozkazujący,commanding/imperative,,
rozkosz,pleasure/delight,,
rozkoszować się czymś,to relish/delight in something,,
rozkwitać,to blossom/flourish (repeated),,
rozkwitnąć,to blossom/flourish (once),,
rozkład,decomposition,,
rozlec się,to ring out (once),,
rozlegać się,to ring out (repeated),,
rozlegniesz się (rozlec się),You will ring out,,
rozlegnę się (rozlec się),I will ring out,,
rozległy,extensive/vast,,
rozluźniać,to loosen/relax (repeated),,
rozluźnić,to loosen/relax (once),,
rozmach,momentum,,
rozmaity,various,,
rozmazać,to smear/smudge (once),,
rozmazywać,to smear/smudge (repeated),,
rozmażesz (rozmazać),You will smear/smudge,,
rozmażę (rozmazać),I will smear/smudge,,
rozmowa,conversation/dialog/chat,,
rozniecać,to kindle (repeated),,
rozniecić,to kindle (once),,
rozpacz,despair,,
rozpaczliwy,desperate,,
rozpoczynać się,to begin/commence (repeated),,
rozpocząć się,to begin/commence (once),,
rozpostrzeć,to outstretch (once),,
rozpoznawać,to recognize/identify/diagnose (repeated),,
rozpoznać,to recognize/identify/diagnose (once),,
rozpościerać,to outstretch (repeated),,
rozprawa,trial/hearing,,
rozpromieniony,radiant,,
rozpuszczać,to dissolve/melt (repeated),,
rozpuścić,to dissolve/melt (once),,
rozpędzać,to speed up (repeated),,
rozpędzić,to speed up (once),,
rozpętać się,to blow up,,
rozrastać się,to grow/spread (repeated),,
rozrosnąć się,to grow/spread (once),,
rozruch,startup/starting,,
rozrywać,to tear (apart) (repeated),,
rozrywka,entertainment,,
rozrzucać,to scatter/spread (repeated),,
rozrzucisz (rozrzucić),You will scatter/spread,,
rozrzucić,to scatter/spread (once),,
rozrzucę (rozrzucić),I will scatter/spread,,
rozstanie,parting/split-up,,
rozstawać się,to part/split with (repeated),,
rozstać się,to part/split with (once),,
rozstrzelać,to execute by shooting (once),,
rozstrzeliwać,to execute by shooting (repeated),,
rozstrzygać,to settle/decide (repeated),,
rozstrzygnąć,to settle/decide (once),,
rozsypać,to spill/disperse (once),,
rozsypywać,to spill/disperse (repeated),,
rozszyfrować,to decode/decipher (once),,
rozszyfrowywać,to decode/decipher (repeated),,
rozsądek,sense,,
rozsądny,sensible/wise,,
roztapiać,to melt (repeated),,
roztargnienie,absent-mindedness,,
rozterka,indecision/quandary,,
roztopić,to melt (once),,
roztrwonić,to squander (once),,
roztrzepany,scatterbrained,,
roztrącać,to jostle (repeated),,
roztrącić,to jostle (once),,
rozum,reason/mind/judgement,,
rozważać,to weigh up (repeated),,
rozważyć,to weigh up (once),,
rozwiać,to clear/disperse (once),,
rozwiejesz (rozwiać),You will clear/disperse,,
rozwieję (rozwiać),I will clear/disperse,,
rozwiewać,to clear/disperse (repeated),,
rozwieść się,to get divorced (once),,
rozwijaj się (rozwijać się),Improve/develop! (repeated),,
rozwijam się (rozwijać się),I am improving/developing,,
rozwijasz się (rozwijać się),You are improving/developing,,
rozwijać się,to improve/develop (repeated),,
rozwiniesz się (rozwinąć się),You will improve/develop,,
rozwinąć się,to improve/develop (once),,
rozwinę się (rozwinąć się),I will improve/develop,,
rozwiązanie,solution,,
rozwiązać,to solve I (once),,
rozwiązujesz (rozwiązywać),You are solving,,
rozwiązuję (rozwiązywać),I am solving,,
rozwiązywać,to solve I (repeated),,
rozwiń się (rozwinąć się),Improve/develop! (once),,
rozwodzić się,to get divorced (repeated),,
rozwód,divorce,,
rozwój,development/progress,,
rozwścieczony,enraged,,
rozzłościć,to anger (once),,
rozładować,to unload (once),,
rozładowywać,to unload (repeated),,
roślina,plant,,
rośniesz (rosnąć),You are growing,,
rośnij (rosnąć),Grow! (repeated),,
rubryka,blank or section,,
ruch,movement,,
ruchliwy,busy/bustling,,
rumienić się,to blush (repeated),,
rumowisko,rubble,,
runąć,to collapse,,
rupieć,junk,,
rycerz,knight,,
ryglować,to bolt/bar (repeated),,
ryknąć,to roar/bray/bellow (once),,
ryrzeć,to roar/bray/bellow (repeated),,
rysunek,drawing,,
ryzyko,risk,,
rzeczownik,noun,,
rzeczywistość,reality I,,
rzednąć,to become thin (repeated),,
rzeka,river,,
rzekomo,allegedly,,
rzemiosło,craft/trade,,
rześki,brisk/fresh,,
rzeźnia,abattoir,,
rzeźnik,butcher,,
rzucać,to throw (repeated),,
rzucić,to throw (once),,
rzut,throw/cast,,
rząd,government or row,,
rządzić,to govern,,
rzęsa,eyelash,,
rzęsisty,torrential,,
ród,family/kin/tribe,,
rów,ditch/trench,,
rówieśniczka,peer (female),,
rówieśnik,peer (male),,
również,also,,
równik,equator,,
równina,plain,,
równoczesny,simultaneous,,
równocześnie,simultaneously,,
równoległy,parallel/concurrent,,
równouprawnienie,equal rights (equality),,
równowaga,balance,,
równość,equality,,
równy,flat/level/even/equal,,
różaniec,rosary,,
różdżka,wand,,
różnica,difference,,
różnić się,to differ,,
różnobarwny,multicoloured,,
różnoraki,varied/diverse/disparate,,
różnorodność,variety,,
różny,different/diverse,,
ręcznie,by hand,,
rękaw,sleeve,,
rękojeść,handle/hilt/grip,,
rękopis,manuscript,,
sad,orchard,,
sadzawka,pond,,
sakiewka,pouch/purse,,
samobójczy,suicidal,,
samobójstwo,suicide,,
samodzielność,autonomy,,
samoistny,independent II,,
samolubny,selfish,,
samoobrona,self-defense,,
samopoczucie,mood II,,
samotność,loneliness,,
sapać,to pant/gasp (repeated),,
sapnąć,to pant/gasp (once),,
sceptyczny,sceptical,,
schludny,tidy/neat/clean,,
schodzić,to descend (repeated),,
schorowany,ailing/diseased,,
schowek,hiding place II,,
schronienie,shelter,,
schudnąć,to loose weight (once),,
schylać,to bend down (repeated),,
schylić,to bend down (once),,
sedes,toilet seat,,
sedno,essence/bottom/point/heart,,
senny,drowsy/sleepy/soporific,,
serio,seriously,,
sfingować,to fix/rig (once),,
siadać,to sit down (repeated),,
siano,hay,,
siać,to sow (repeated),,
siedzenie,seat,,
siedziba,headquarters,,
siedzieć,to sit,,
siedzisz (siedzieć),You are sitting,,
siedzę (siedzieć),I am sitting,,
siedź (siedzieć),Sit!,,
siejesz (siać),You are sowing,,
sieję (siać),I am sowing,,
siekacz,incisor tooth,,
siekać,to chop (repeated),,
siekiera,small axe or hatchet,,
sierociniec,orphanage,,
sierp,sickle or crescent (moon),,
sierpień,August,,
sierść,fur,,
sieć,fishing net,,
sień,hall,,
silnik,motor/engine,,
siniaczyć,to bruise (repeated),,
siny,bluish I,,
siodło,saddle,,
siorbać,to slurp (repeated),,
siorbnąć,to slurp (once),,
siądziesz (siąść),You will sit,,
siądę (siąść),I will sit,,
siądź (siąść),Sit down! (once),,
siąść,to sit down (once),,
skakanka,skipping role,,
skala,scale,,
skaleczyć się czymś,to cut oneself with something (once),,
skalisty,rocky,,
skamielina,fossil,,
skamienieć,to turn to stone (once),,
skansen,open-air museum,,
skarbiec,treasury,,
skarga,complaint IV,,
skarpa,scarp/escarpment,,
skarżyć się na kogoś/coś,to complain about somebody/something (repeated),,
skazany,sentenced/convicted,,
skała,rock,,
skierowany,aimed/directed,,
skinąć,to nod/beckon,,
skojarzenie,association,,
skojarzyć się,to be associated/reminded (once),,
skok,jump/leap I,,
skonany,knackered,,
skonstatować,to ascertain (once),,
skoro,since/as,,
skorumpować,to corrupt (once),,
skorupa,crust/shell,,
skory,eager/willing/prone,,
skorygować,to correct/rectify/revise (once),,
skorzystać,to benefit from (once),,
skracać,to shorten (repeated),,
skradać się,to sneak/creep,,
skraj,brink,,
skrajny,extreme,,
skrawek,scrap/patch,,
skromny,humble/modest,,
skruszony,apologetic/repentant,,
skrytka,hiding place I,,
skrytykować,to criticise (once),,
skrzeczeć,to screech/squawk/croak,,
skrzepnąć,to clot/coagulate/solidify (once),,
skrzydło,wing,,
skrzynia,chest,,
skrzypce,violin,,
skrzypieć,to creak (repeated),,
skrzypnąć,to creak (once),,
skrzywdzić,to harm/hurt (once),,
skrzyżowanie,junction/crossing/crossroads,,
skrócić,to shorten (once),,
skrót,abbreviation/short-cut,,
skręcać,to twist (repeated),,
skręcić,to twist (once),,
skrępować,to embarrass II (once),,
skręt,turn/curl,,
skubać,to nibble or pick at (repeated),,
skubiesz (skubać),You are nibbling,,
skubię (skubać),I am nibbling,,
skubnąć,to nibble or pick at (once),,
skulić,to hunch (once),,
skupiać się,to concentrate (repeated),,
skupisko,cluster,,
skupić się,to concentrate (once),,
skurczyć się,to shrink (once),,
skusić,to tempt/entice (once),,
skuteczny,effective,,
skutek,consequence/result/effect,,
skwapliwy,eager II,,
skórzany,leather,,
skądże,not at all,,
skąpy,miserly/stingy,,
skład,composition,,
składnia,syntax,,
składnik,component/element/ingredient,,
skłamać,to lie (once),,
skłonność,tendency/propensity/vulnerability,,
skłonny,prone/susceptible,,
smarkacz,brat/snotnose,,
smarować,to spread/rub/grease/smear (repeated),,
smażyć,to fry (repeated),,
smucisz się (smucić się),You are saddened,,
smucić się,to be sad (repeated),,
smucę się (smucić się),I am saddened,,
smukły,slim/slender/willowy,,
smutek,sorrow,,
smycz,lead/leash,,
smętny,melancholy,,
soczewica,lentil,,
soczewka,lens II,,
soczysty,juicy,,
sonda,opinion poll,,
sosna,pine tree,,
spadać,to fall/drop (repeated),,
spadek,fall/drop/decline or inheritance,,
spadkobierca,heir/inheritor,,
spadzisty,sloping/steep/precipitous,,
spalać,to burn (repeated),,
spalenizna,the smell of burning,,
spalić,to burn (once),,
spalony,burnt/scorched,,
spasiony,fattened/fat/gross,,
spaść,to fall/drop (once),,
speszony,shamefaced/abashed,,
spełniać,to fulfil or carry out (repeated),,
spełnić,to fulfil or carry out (once),,
spiczasty,pointed,,
spinka,fastener,,
spis,list/census,,
spisek,conspiracy/plot,,
spiskowiec,conspirator,,
spiętrzać,to pile up or accumulate (repeated),,
spiętrzyć,to pile up or accumulate (once),,
spięty,uptight,,
spiżarnia,pantry/larder,,
splajtować,to go bust (once),,
splunąć,to spit at (once),,
spluwać,to spit at (repeated),,
splądrować,to plunder/pillage (once),,
spoczywać,to lie/rest (repeated),,
spocząć,to lie/rest (once),,
spodziewać się,to expect,,
spoglądać,to glance (repeated),,
spojrzenie,glance,,
spojrzeć,to glance (once),,
spontaniczność,spontaneity,,
spontaniczny,spontaneous,,
sporo,a good/great deal,,
sporządzać,to draw/make up (repeated),,
sporządzić,to draw/make up (once),,
spostrzegawczość,perceptiveness,,
sposób,way/method/approach,,
spowiadać,to confess (repeated),,
spowiedź,confession,,
spowodować,to cause I (once),,
spoza,from outside/behind,,
społeczeństwo,society,,
społeczny,social/societal,,
spośród,from among,,
spożycie,consumption/intake,,
spożywać,to eat/consume (repeated),,
spożywczy,food/grocery,,
spożyć,to eat/consume (once),,
spragniony,thirsty,,
sprawca,perpetrator/culprit (male),,
sprawczyni,perpetrator/culprit (female),,
sprawdzać,to check/verify/confirm (repeated),,
sprawdzian,test/quiz,,
sprawdzić,to check/verify/confirm (once),,
sprawiać,to cause II (repeated),,
sprawiedliwość,justice,,
sprawić,to cause II (once),,
sprawować,to perform,,
sprawozdanie,report,,
sprowadzać,to fetch (repeated),,
sprowadzić,to fetch (once),,
sprytny,cunning/shrewd,,
sprzeciwiać się komuś/czemuś,to oppose somebody/something (repeated),,
sprzeciwić się komuś/czemuś,to oppose somebody/something (once),,
sprzeczny,conflicting/contradictory,,
sprzed,in front/before,,
sprzedawać,to sell (repeated),,
sprzedać,to sell (once),,
sprzedaż,sale,,
sprzeniewierzać,to embezzle/misappropriate (repeated),,
sprzeniewierzyć,to embezzle/misappropriate (once),,
sprzyjać,to favour,,
sprzątacz,cleaner,,
sprzątać,to clean (repeated),,
sprzątnąć,to clean (once),,
sprzęt,equipment,,
spust broni,trigger of a weapon,,
spustoszyć,to ravage/desolate (once),,
spuszczać,to drop/lower (repeated),,
spuścić,to drop/lower (once),,
spychać,to drive back (repeated),,
spód,underside,,
spójnik,conjunction,,
spór,dispute,,
spółka,company II,,
spóźniać się,to be late (repeated),,
spóźnić się,to be late (once),,
spłacać,to pay off (repeated),,
spłacić,to pay off (once),,
spłaszczać,to flatten (repeated),,
spłaszczyć,to flatten (once),,
spłata,repayment,,
spłoszyć,to startle/scare/spook (once),,
spłukać,to rinse/flush (once),,
spłukiwać,to rinse/flush (repeated),,
spłynąć,to flow down (once),,
spływać,to flow down (repeated),,
ssak,mammal,,
stacyjka,ignition,,
stadion,stadium,,
stado,herd/pack/flock,,
stajnia,stable,,
stamtąd,from there,,
stan,state/condition,,
stanieć,to become cheaper (once),,
stanowczo,firmly/flatly/categorically,,
stanowisko,post/position,,
stanowić,to constitute/comprise,,
staranny,careful,,
starczać,to suffice (repeated),,
starczyć,to suffice (once),,
staroświecki,old-fashioned,,
starość,old age,,
starożytny,ancient,,
stawać się,to become/happen (repeated),,
stać się,to become/happen (once),,
stały,regular/steady/stable/fixed,,
staż,training/internship,,
sterczeć,to stick out or to protrude,,
sterta,pile/stack/heap II,,
stocznia,shipyard,,
stodoła,barn,,
stojak,stand/rack,,
stok,slope/hillside,,
stolarz,carpenter/joiner,,
stopnieć,to thaw (once),,
stopniowy,gradual/incremental,,
stos,pile/stack/heap I,,
stosunek,relation/attitude,,
stosunkowy,relative/comparative,,
stowarzyszenie,association/society,,
stołówka,canteen,,
strapiony,worried,,
strata,"loss I (e.g. of life, time or money)",,
strawny,digestible,,
strażnica,watchtower,,
strefa,zone,,
streszczać,to summarize (repeated),,
streszczenie,summary,,
streścić,to summarize (once),,
strofa,stanza/verse,,
stromy,steep,,
stroszyć,to ruffle (repeated),,
struga,stream,,
strugać,to carve (repeated),,
struna,cord/string,,
strych,attic/loft,,
strzał,shot,,
strzała,arrow (weapon),,
strzałka,arrow (pointer),,
strzec,to guard,,
strzegę (strzec),I am guarding,,
strzelanina,shooting,,
strzelać,to shoot/fire (repeated),,
strzelba,shotgun,,
strzelisz (strzelić),You will shoot/fire,,
strzelić,to shoot/fire (once),,
strzelnica,shooting range,,
strzelę (strzelić),I will shoot/fire,,
strzepnąć,to flick/brush (once),,
strzepujesz (strzepywać),You are flicking/brushing,,
strzepuję (strzepywać),I am flicking/brushing,,
strzepywać,to flick/brush (repeated),,
strzeżesz (strzec),You are guarding,,
strzykawka,syringe,,
strzęp,shred/snippet,,
strój,dress/attire,,
stróż,watchman,,
strącać,to knock off (repeated),,
strącić,to knock off (once),,
studnia,well,,
stulecie,century/centenary/centennial,,
stwierdzenie,assertion/statement,,
stwierdzić,to assert/claim (once),,
stworzyć,to create (once),,
stwórca,creator,,
styczeń,January,,
stygnąć,to cool down (repeated),,
stykać się,to adjoin (repeated),,
stypendium,bursary/grant,,
stąd,from here,,
stąpać,to tread/step (repeated),,
stąpnąć,to tread/step (once),,
stęchlizna,mustiness,,
stękać,to moan/groan II (repeated),,
stęknąć,to moan/groan II (once),,
stępiać,to become blunt (repeated),,
stępić,to become blunt (once),,
stęskniony,longing,,
sumienie,conscience,,
sumienny,conscientious,,
surowy,raw/harsh/severe,,
sus,jump/leap II,,
suszarnia,drying room,,
suszyć,to dry (repeated),,
suterena,basement,,
swoboda,freedom/ease,,
swobodny,unconstrained,,
swąd,stench,,
syczeć,to hiss (repeated),,
syknąć,to hiss (once),,
sylwetka,silhouette,,
synowa,daughter-in-law,,
syty,satiated,,
szacować,to estimate/assess (repeated),,
szacunek,respect,,
szafka,wall cupboard,,
szaleniec,madman,,
szaleństwo,madness/insanity,,
szalony,insane,,
szanowny,honourable,,
szarfa,sash,,
szarzeć,to turn grey (repeated),,
szał,frenzy/delirium/lunacy,,
szałas,hut,,
szczapa,chip/sliver,,
szczebel,rung/level/rank/tier,,
szczególnie,particularly/especially,,
szczegół,detail,,
szczekać,to bark (repeated),,
szczeknąć,to bark (once),,
szczelina,slit/crack/crevice/crevasse/fissure,,
szczelny,hermetic/airtight,,
szczepionka,vaccine,,
szczery,frank/candid,,
szczerze,frankly/candidly,,
szczodry,bountiful,,
szczodrze,bountifully,,
szczotkować,to brush (repeated),,
szczupły,lean,,
szczur,rat,,
szczycić się czymś,to take pride in something,,
szczypta,pinch,,
szczyt,peak/summit,,
szczęka,jaw,,
szczęściara,lucky woman,,
szczęściarz,lucky man,,
szelest,rustle,,
szeleścić,to rustle (repeated),,
szemrać,to murmur/mumble/babble,,
szepczesz (szeptać),You are whispering,,
szepczę (szeptać),I am whispering,,
szepnąć,to whipser (once),,
szept,whisper,,
szeptać,to whisper (repeated),,
szereg,number/series/row,,
szeroki,wide,,
szerzyć,to propagate/disseminate,,
szew,stitch,,
szewc,shoemaker/cobbler,,
szkaradny,hideous II,,
szklany,glass,,
szkodliwy,harmful,,
szkodzić komuś/czemuś,to harm somebody/something (repeated),,
szkło,glass,,
szlachetny,noble II,,
szlafrok,bathrobe,,
szlak,track/trail,,
szloch,sob,,
szmat drogi/czasu,long way/time,,
szmata,rag,,
szmer,murmur/babble,,
szminka,lipstick,,
sznur,cord/line/lead,,
szopa,shed,,
szorować,to scrub (repeated),,
szpiegostwo,espionage,,
szpiegować,to spy,,
szpikulec,spike/skewer,,
szpilka,pin/hairpin/needle or stiletto heel,,
szrama,scar II,,
sztucer,rifle,,
sztuczny,artificial,,
szturchać,to poke/nudge (repeated),,
szturchnąć,to poke/nudge (once),,
sztylet,stiletto dagger,,
szubienica,gallows,,
szufelka,dustpan,,
szuflada,drawer,,
szum,hum/burble/lap,,
szumieć,to burble,,
szyb,(mine) shaft,,
szyba,pane (of glass),,
szycie,sewing,,
szyderczy,derisory/mocking/jeering/scoffing,,
szyfr,cipher,,
szykować,to prepare II (repeated),,
szykowny,chic,,
szyld,sign/signboard,,
sączyć,to sip (a drink) (repeated),,
sąd,court (of law),,
sądowniczy,judicial,,
sądzić,to think/suppose (repeated),,
sąsiedztwo,neighbourhood II,,
sędzia,judge (profession),,
sława,fame/reputation,,
słodzić,to sweeten (repeated),,
słoma,straw,,
słomianka,doormat,,
słonina,bacon/lard/pork fat,,
słowiański,Slavic,,
słownictwo,vocabulary,,
słuchacz,listener,,
słup,pole/pylon/post/column,,
słuszny,correct/rightful/justified,,
służbowo,on business,,
służący,servant,,
słynny,famous/well-known,,
