polish,english,other,type
przyniesiesz (przynieść),You will bring (on foot),,conjugation
przynieś (przynieść),Bring! (on foot) (once),,imperative
przynieść,to bring (on foot) (once),,perf verb
przyniosę (przynieść),I will bring (on foot),,conjugation
przynosisz (przynosić),You are bringing (on foot),,conjugation
przynosić,to bring (on foot) (repeated),,verb
przynoszę (przynosić),I am bringing (on foot),,conjugation
przynoś (przynosić),Bring! (on foot) (repeated),,imperative
przynęta,bait II,,f noun
przypadek,"accident (as in, coincidence)",,m noun
przypiec,to scorch/toast (once),,perf verb
przypiekać,to scorch/toast (repeated),,verb
przypinać się,to strap oneself (repeated),,verb
przypiąć się,to strap oneself (once),,perf verb
przypniesz się (przypiąć się),You will strap yourself,,conjugation
przypnę się (przypiąć się),I will strap myself,,conjugation
przypominać sobie,to recall/remember (repeated),,verb
przypomnieć sobie,to recall/remember (once),,perf verb
przyprawa,spice/seasoning,,f noun
przyprowadzać,to bring (repeated),,verb
przyprowadzić,to bring (once),,perf verb
przypuszczać,to suppose/assume,,verb
przypuszczenie,supposition/assumption,,n noun
przypływ,high tide,Nie ma przypływu,m noun
przyroda,nature,Kocham przyrodę! (I love nature!),f noun
przyrzec,to promise II (once),,perf verb
przyrzekać,to promise II (repeated),,verb
przyrzekniesz (przyrzec),You will promise,,conjugation
przyrzeknę (przyrzec),I will promise,,conjugation
przyrząd,instrument/apparatus,Nie ma przyrządu,m noun
przysięga,oath/swearing,,f noun
przyspieszać,to accelerate (repeated),,verb
przyspieszyć,to accelerate (once),,perf verb
przystanek,bus/tram stop,Nie ma przystanku,m noun
przystawka,starter,,f noun
przystosować,to adjust/adapt (once),,perf verb
przystosowywać,to adjust/adapt (repeated),,verb
przyswajać,to absorb/internalize/assimilate (repeated),,verb
przyswoić,to absorb/internalize/assimilate (once),,perf verb
przyszykować,to prepare II (once),,perf verb
przyszły,coming/future,W przyszłm tygodniu,adjective
przysłuchać się,to listen in (once),,perf verb
przysłuchiwać się,to listen in (repeated),,verb
przysługa,favour,,f noun
przysłówek,adverb,,m noun
przytaczać,to quote (repeated),,verb
przytoczyć,to quote (once),,perf verb
przytomność,consciousness,,f noun
przytrafiać się,to (be)chance (repeated),,verb
przytrafić się,to (be)chance (once),,perf verb
przytul (przytulić),Hug/cuddle! (once),,imperative
przytulaj (przytulać),Hug/cuddle! (repeated),,imperative
przytulam (przytulać),I am hugging/cuddling,,conjugation
przytulasz (przytulać),You are hugging/cuddling,,conjugation
przytulać,to hug/cuddle (repeated),,verb
przytulisz (przytulić),You will hug/cuddle,,conjugation
przytulić,to hug/cuddle (once),,perf verb
przytulny,cosy/snug,,adjective
przytulę (przytulić),I will hug/cuddle,,conjugation
przytułek,poorhouse or shelter,Nie ma przytułku,m moun
przytwierdzać,to attach I (repeated),,verb
przytwierdzić,to attach I (once),,perf verb
przytyć,to gain weight (once),,perf verb
przytłumiony,muffled,,adjective
przywitać,to welcome (once),,perf verb
przywracać,to restore (repeated),,verb
przywrócić,to restore (once),,perf verb
przywykać do kogoś/czegoś,to get used to somebody/something (repeated),,verb
przywyknąć do kogoś/czegoś,to get used to somebody/something (once),,perf verb
przywódca,leader,,m noun
przyznawać się,"to confess to, to own up to (repeated)",,verb
przyznać się,"to confess to, to own up to (once)",,perf verb
przyzwoity,decent/respectable,,adjective
przyzwolenie,consent,,n noun
przyzwyczaisz (przyzwyczaić),You will get accustomed,,conjugation
przyzwyczaić,to get accustomed (once),,perf verb
przyzwyczajać,to get accustomed (repeated),,verb
przyzwyczajenie,habit,,n noun
przyzwyczajony,accustomed,,adjective
przyzwyczaję (przyzwyczaić),I will get accustomed,,conjugation
przyłożyć się do czegoś,to apply oneself to something (once),,perf verb
przyłączać się,to join I (repeated),,verb
przyłączyć się,to join I (once),,perf verb
przyśnić się,to dream about (once),,perf verb
przód,front,Nie ma przodu,m noun
próba,try,"Trzecia próba, trzecia porażka",f noun
próg,doorstep/threshold,Nie ma progu,m noun
próżnia,vacuum/void,,f noun
próżny,vain/futile,,adjective
prąd,electricity,,m noun
prędkość,speed,,f noun
prędzej,quicker,,adverb
prężny,supple/springy/buoyant,,adjective
psotnik,prankster,,m noun
pstrykać,to snap/flick (fingers) (repeated),,verb
pstryknąć,to snap/flick (fingers) (once),,perf verb
psuć,to break/spoil/ruin (repeated),,verb
psychiczny,psychic,,adjective
psychika,psyche,,f noun
pszenica,wheat,,f noun
publicysta,columnist,,m noun
puchar,sports cup,Nie ma pucharu,m noun
pudełko,box,,n noun
pudrować,to powder (repeated),,verb
pustelnik,hermit,,m noun
pustka,emptiness,,f noun
pustkowie,wilderness,,n noun
pustoszyć,to ravage/desolate (repeated),,verb
pustynia,desert,Jestem na pustyni (I'm in the desert),f noun
puszcza,primeval forest,,f noun
puszczać,to let go (repeated),,verb
puszka,can/tin,,f noun
puszysty,fluffy,,adjective
pułapka,trap,,f noun
pułkownik,colonel,,m noun
puścić,to let go (once),,perf verb
pyskować,to talk/answer back,,verb
pył,dust,Nie ma pyłu,m noun
pójdziesz (pójść),You will go,,conjugation
pójdę (pójść),I will go,,conjugation
pójdź (pójść),Go! (once),,imperative
pół miliona,half a million,,numeral
pół tysiąca,half a thousand,,numeral
półka,shelf,,f noun
półmisek,platter,Nie ma półmiska,m noun
półmrok,half-light/semi-darkness,Nie ma półmroku,m noun
północ,north,Na północy (Northwards),f noun
półtora,one and a half,,numeral
później,later,,adverb
pęczniejesz (pęcznieć),You are swelling,,conjugation
pęcznieję (pęcznieć),I am swelling,,conjugation
pęcznieć,to swell (repeated),,verb
pęd,sprout/rush,Nie ma pędu,m noun
pękać,to crack (repeated),,verb
pęknięcie,rupture,,n noun
pęknięty,cracked,,adjective
pęknąć,to crack (once),,perf verb
pępek,belly button,Nie ma pępka,m noun
pęta,fetters,,f plural noun
płacisz (płacić),You are paying (for),,conjugation
płacić,to pay (for) (repeated),,verb
płacę (płacić),I am paying (for),,conjugation
płaski,flat,,adjective
płać (płacić),Pay! (repeated),,imperative
płeć,sex,Nie ma płci,f noun
płochliwy,coy/shy/skittish,,adjective
płodność,fertility,,f noun
płomień,flame,,m noun
płoszyć,to startle/scare/spook (repeated),,verb
płot,fence I,Nie ma płotu,m noun
płowieć,to fade/bleach (repeated),,verb
płuco,lung,,n noun
płucz (płukać),Rinse! (repeated),,imperative
płuczesz (płukać),You are rinsing,,conjugation
płuczę (płukać),I am rinsing,,conjugation
płukać,to rinse (repeated),,verb
płyn,liquid,Nie ma płynu,m noun
płynnie,fluently/smoothly,,adverb
płyta,plate/tile/flagstone/slab,,f noun
rabat,discount/rebate,Nie ma rabatu,m noun
rabować,to rob/steal (repeated),,verb
rabuś,robber,,m noun
raczkować,to crawl (as a baby),,verb
rada,advice,,f noun
radosny,joyful,,adjective
raj,paradise,Nie ma raju,m noun
rajstopy,tights,,f plural noun
ramię,arm/shoulder,,n noun
ramka,frame,,f noun
randka,date (romantic),,f noun
ranisz (ranić),You are wounding/hurting,,conjugation
ranić,to wound/hurt (repeated),,verb
ranię (ranić),I am wounding/hurting,,conjugation
rata,instalment,,f noun
ratować,to rescue/save I (repeated),,verb
ratunek,rescue/help,Nie ma ratunku,m noun
ratusz,town/city hall,,m noun
rań (ranić),Wound/hurt! (repeated),,imperative
reagować,to react (repeated),,verb
recenzja,review,,f noun
recepta,prescription,,f noun
redagować,to edit (repeated),,verb
reguła,rule,,f noun
rejestrować,to register (repeated),,verb
rejon,region,Nie ma rejonu,m noun
rejs,voyage/flight,Nie ma rejsu,m noun
rekin,shark,,m noun
reklamacja,complaint II,,f noun
reklamować,to advertise (repeated),,verb
remis,(a) draw,Nie ma remisu,m noun
rewanż,rematch (revenge),Nie ma rewanżu,m noun
robak,bug,,m noun
rocznica,anniversary,,f noun
roczny,annual/yearly,,adjective
rodak,compatriot/countryman,,m noun
rodzaj,type,Jaki rodzaj chleba lubisz?,n noun
rodzeństwo,siblings,,n noun
rodzicielstwo,parenthood,,n noun
rodzimy,native II,,adjective
rodzić,to give birth to (repeated),,verb
roić się,to swarm (repeated),,verb
rondo,roundabout,,n noun
rosnąć,to grow (repeated),,verb
rosnę (rosnąć),I am growing,,conjugation
roszczenie,(legal) claim,,n noun
rowerzysta,cyclist,,m noun
rowerzyści,cyclists,,m plural noun
rozbawiać,to amuse (repeated),,verb
rozbawić,to amuse (once),,perf verb
rozbierać,to undress (repeated),,verb
rozbijać,to break/shatter (repeated),,verb
rozbitek,castaway,Nie ma rozbitka,m noun
rozbić,to break/shatter (once),,perf verb
rozbrojenie,disarmament,,n noun
rozbrykany,frisky,,adjective
rozbrzmiewać,to resound (repeated),,verb
rozbrzmieć,to resound (once),,perf verb
rozbudowa,development/extension/expansion,,f noun
rozchmurzać się,to clear/brighten/cheer up (repeated),,verb
rozchmurzyć się,to clear/brighten/cheer up (once),,perf verb
rozchylać,"to part, to half-open (repeated)",,verb
rozchylić,"to part, to half-open (once)",,perf verb
rozciągać,to spread (repeated),,verb
rozciągnąć,to spread (once),,perf verb
rozczarowany,disappointed I,,adjective
rozczarować się,to be disappointed (once),,perf verb
rozczarowywać się,to be disappointed (repeated),,verb
rozczochrany,dishevelled/unkempt,,adjective
rozdział,chapter,,m noun
rozebrać,to undress (once),,perf verb
rozejrzeć się,to look around (once),,perf verb
rozerwać,to tear (apart) (once),,perf verb
roześmiać się,to laugh out loud,,verb
rozgarnięty,sharp-witted,,adjective
rozglądać się,to look around (repeated),,verb
rozgniewać się,to be angry (once),,perf verb
rozgorzeć,to flare up,,verb
rozgościć się,to make oneself at home,,verb
rozgłaszać,to broadcast (repeated),,verb
rozgłosić,to broadcast (once),,perf verb
rozjaśniać,to light up (repeated),,verb
rozjaśnić,to light up (once),,perf verb
rozjuszony,furious II,,adjective
rozkapryszony,moody/tetchy,,adjective
rozkaz,order/command,Nie ma rozkazu,m noun
rozkazujący,commanding/imperative,,adjective
rozkosz,pleasure/delight,,f noun
rozkoszować się czymś,to relish/delight in something,,verb
rozkwitać,to blossom/flourish (repeated),,verb
rozkwitnąć,to blossom/flourish (once),,perf verb
rozkład,decomposition,Nie ma rozkładu,m noun
rozlec się,to ring out (once),,perf verb
rozlegać się,to ring out (repeated),,verb
rozlegniesz się (rozlec się),You will ring out,,conjugation
rozlegnę się (rozlec się),I will ring out,,conjugation
rozległy,extensive/vast,,adjective
rozluźniać,to loosen/relax (repeated),,verb
rozluźnić,to loosen/relax (once),,perf verb
rozmach,momentum,Nie ma rozmachu,m noun
rozmaity,various,,adjective
rozmazać,to smear/smudge (once),,perf verb
rozmazywać,to smear/smudge (repeated),,verb
rozmażesz (rozmazać),You will smear/smudge,,conjugation
rozmażę (rozmazać),I will smear/smudge,,conjugation
rozmowa,conversation/dialog/chat,,f noun
rozniecać,to kindle (repeated),,verb
rozniecić,to kindle (once),,perf verb
rozpacz,despair,,f noun
rozpaczliwy,desperate,,adjective
rozpoczynać się,to begin/commence (repeated),,verb
rozpocząć się,to begin/commence (once),,perf verb
rozpostrzeć,to outstretch (once),,perf verb
rozpoznawać,to recognize/identify/diagnose (repeated),,verb
rozpoznać,to recognize/identify/diagnose (once),,perf verb
rozpościerać,to outstretch (repeated),,verb
rozprawa,trial/hearing,,f noun
rozpromieniony,radiant,,adjective
rozpuszczać,to dissolve/melt (repeated),,verb
rozpuścić,to dissolve/melt (once),,perf verb
rozpędzać,to speed up (repeated),,verb
rozpędzić,to speed up (once),,perf verb
rozpętać się,to blow up,,verb
rozrastać się,to grow/spread (repeated),,verb
rozrosnąć się,to grow/spread (once),,perf verb
rozruch,startup/starting,Nie ma rozruchu,m noun
rozrywać,to tear (apart) (repeated),,verb
rozrywka,entertainment,,f noun
rozrzucać,to scatter/spread (repeated),,verb
rozrzucisz (rozrzucić),You will scatter/spread,,conjugation
rozrzucić,to scatter/spread (once),,perf verb
rozrzucę (rozrzucić),I will scatter/spread,,conjugation
rozstanie,parting/split-up,,n noun
rozstawać się,to part/split with (repeated),,verb
rozstać się,to part/split with (once),,perf verb
rozstrzelać,to execute by shooting (once),,perf verb
rozstrzeliwać,to execute by shooting (repeated),,verb
rozstrzygać,to settle/decide (repeated),,verb
rozstrzygnąć,to settle/decide (once),,perf verb
rozsypać,to spill/disperse (once),,perf verb
rozsypywać,to spill/disperse (repeated),,verb
rozszyfrować,to decode/decipher (once),,perf verb
rozszyfrowywać,to decode/decipher (repeated),,verb
rozsądek,sense,Nie ma rozsądku,m noun
rozsądny,sensible/wise,,adjective
roztapiać,to melt (repeated),,verb
roztargnienie,absent-mindedness,,n noun
rozterka,indecision/quandary,,f noun
roztopić,to melt (once),,perf verb
roztrwonić,to squander (once),,perf verb
roztrzepany,scatterbrained,,adjective
roztrącać,to jostle (repeated),,verb
roztrącić,to jostle (once),,perf verb
rozum,reason/mind/judgement,Nie rozumu,m noun
rozważać,to weigh up (repeated),,verb
rozważyć,to weigh up (once),,perf verb
rozwiać,to clear/disperse (once),,perf verb
rozwiejesz (rozwiać),You will clear/disperse,,conjugation
rozwieję (rozwiać),I will clear/disperse,,conjugation
rozwiewać,to clear/disperse (repeated),,verb
rozwieść się,to get divorced (once),,perf verb
rozwijaj się (rozwijać się),Improve/develop! (repeated),,imperative
rozwijam się (rozwijać się),I am improving/developing,,conjugation
rozwijasz się (rozwijać się),You are improving/developing,,conjugation
rozwijać się,to improve/develop (repeated),,verb
rozwiniesz się (rozwinąć się),You will improve/develop,,conjugation
rozwinąć się,to improve/develop (once),,perf verb
rozwinę się (rozwinąć się),I will improve/develop,,conjugation
rozwiązanie,solution,,n noun
rozwiązać,to solve I (once),,perf verb
rozwiązujesz (rozwiązywać),You are solving,,conjugation
rozwiązuję (rozwiązywać),I am solving,,conjugation
rozwiązywać,to solve I (repeated),,verb
rozwiń się (rozwinąć się),Improve/develop! (once),,imperative
rozwodzić się,to get divorced (repeated),,verb
rozwód,divorce,Nie ma rozwodu,m noun
rozwój,development/progress,Nie ma rozwoju,m noun
rozwścieczony,enraged,,adjective
rozzłościć,to anger (once),,verb
rozładować,to unload (once),,perf verb
rozładowywać,to unload (repeated),,verb
roślina,plant,,f noun
rośniesz (rosnąć),You are growing,,conjugation
rośnij (rosnąć),Grow! (repeated),,imperative
rubryka,blank or section,,f noun
ruch,movement,Nie ma ruchu,m noun
ruchliwy,busy/bustling,,adjective
rumienić się,to blush (repeated),,verb
rumowisko,rubble,,n noun
runąć,to collapse,,verb
rycerz,knight,,m noun
ryknąć,to roar/bray/bellow (once),,perf verb
ryrzeć,to roar/bray/bellow (repeated),,verb
rysunek,drawing,,m noun
ryzyko,risk,,n noun
rzeczownik,noun,,m noun
rzeczywistość,reality I,,f noun
rzeka,river,,f noun
rzekomo,allegedly,,adverb
rzemiosło,craft/trade,,n noun
rześki,brisk/fresh,,adjective
rzeźnia,abattoir,,f noun
rzeźnik,butcher,,m noun
rzucać,to throw (repeated),,verb
rzucić,to throw (once),,perf verb
rzut,throw/cast,Nie ma rzutu,m noun
rząd,government or row,,m noun
rządzić,to govern,,verb
rzęsa,eyelash,,f noun
rzęsisty,torrential,,adjective
ród,family/kin/tribe,Nie ma rodu,m noun
rów,ditch/trench,Nie ma rowu,m noun
rówieśniczka,peer (female),,f noun
rówieśnik,peer (male),,m noun
również,also,Rząd obiecuje również niższy podatek,adverb
równik,equator,,m noun
równina,plain,,f noun
równoczesny,simultaneous,,adjective
równocześnie,simultaneously,,adverb
równouprawnienie,equal rights (equality),,n noun
równowaga,balance,,f noun
równość,equality,,f noun
równy,flat/level/even/equal,,adjective
różaniec,rosary,Nie ma różańca,m noun
różdżka,wand,,f noun
różnica,difference,,f noun
różnić się,to differ,,verb
różnobarwny,multicoloured,,adjective
różnoraki,varied/diverse/disparate,,adjective
różnorodność,variety,,f noun
różny,different/diverse,,adjective
ręcznie,by hand,,adverb
rękaw,sleeve,,m noun
rękojeść,handle/hilt/grip,,f noun
rękopis,manuscript,Nie ma rękopisu,m noun
sad,orchard,Nie ma sadu,m noun
sadzawka,pond,,f noun
sakiewka,pouch/purse,,f noun
samobójczy,suicidal,,adjective
samobójstwo,suicide,,n noun
samodzielność,autonomy,,f noun
samoistny,independent II,,adjective
samolubny,selfish,,adjective
samoobrona,self-defense,,f noun
samopoczucie,mood II,,n noun
samotność,loneliness,,f noun
sapać,to pant/gasp (repeated),,verb
sapnąć,to pant/gasp (once),,perf verb
sceptyczny,sceptical,,adjective
schodzić,to descend (repeated),,verb
schorowany,ailing/diseased,,adjective
schowek,hiding place II,Nie ma schowka,m noun
schronienie,shelter,,n noun
schudnąć,to loose weight (once),,perf verb
schylać,to bend down (repeated),,verb
schylić,to bend down (once),,perf verb
sedes,toilet seat,Nie ma sedesu,m noun
sedno,essence/bottom/point/heart,,n noun
senny,drowsy/sleepy/soporific,,adjective
serio,seriously,,adverb
sfingować,to fix/rig (once),,perf verb
siadać,to sit down (repeated),,verb
siano,hay,,n noun
siać,to sow (repeated),,verb
siedzenie,seat,,n noun
siedziba,headquarters,,f noun
siedzieć,to sit,,verb
siedzisz (siedzieć),You are sitting,,conjugation
siedzę (siedzieć),I am sitting,,conjugation
siedź (siedzieć),Sit!,,imperative
siejesz (siać),You are sowing,,conjugation
sieję (siać),I am sowing,,conjugation
siekacz,incisor tooth,,m noun
siekać,to chop (repeated),,verb
siekiera,small axe or hatchet,,f noun
sierociniec,orphanage,Nie ma sierocińca,m noun
sierp,sickle or crescent (moon),,m noun
sierpień,August,,m noun
sierść,fur,,f noun
sieć,fishing net,,f noun
sień,hall,,f noun
silnik,motor/engine,,m noun
siniaczyć,to bruise (repeated),,verb
siny,bluish,,adjective
siodło,saddle,,n noun
siorbać,to slurp (repeated),,verb
siorbnąć,to slurp (once),,perf verb
siądziesz (siąść),You will sit,,conjugation
siądę (siąść),I will sit,,conjugation
siądź (siąść),Sit down! (once),,imperative
siąść,to sit down (once),,perf verb
skakanka,skipping role,,f noun
skala,scale,,f noun
skaleczyć się czymś,to cut oneself with something (once),,perf verb
skalisty,rocky,,adjective
skamienieć,to turn to stone (once),,perf verb
skansen,open-air museum,Nie ma skansenu,m noun
skarbiec,treasury,Nie ma skarbca,m noun
skarga,complaint IV,,f noun
skarpa,scarp/escarpment,,f noun
skarżyć się na kogoś/coś,to complain about somebody/something (repeated),,verb
skazany,sentenced/convicted,,m noun
skała,rock,,f noun
skierowany,aimed/directed,,adjective
skinąć,to nod/beckon,,verb
skojarzenie,association,,n noun
skojarzyć się,to be associated/reminded (once),,perf verb
skok,jump/leap I,Nie ma skoku,m noun
skonany,knackered,,adjective
skonstatować,to ascertain (once),,perf verb
skoro,since/as,Skoro uczysz się języka polskiego ...,conjunction
skorumpować,to corrupt (once),,perf verb
skorupa,crust/shell,,f noun
skorygować,to correct/rectify/revise (once),,perf verb
skorzystać,to benefit from (once),,perf verb
skracać,to shorten (repeated),,verb
skradać się,to sneak/creep,,verb
skraj,brink,Nie ma skraju,m noun
skrajny,extreme,,adjective
skrawek,scrap/patch,Nie ma strawka,m noun
skromny,humble/modest,,adjective
skruszony,apologetic/repentant,,adjective
skrytka,hiding place I,,f noun
skrytykować,to criticise (once),,perf verb
skrzeczeć,to screech/squawk/croak,,verb
skrzepnąć,to clot/coagulate/solidify (once),,perf verb
skrzydło,wing,,n noun
skrzynia,chest,,f noun
skrzypce,violin,,f pl noun
skrzypieć,to creak (repeated),,verb
skrzypnąć,to creak (once),,perf verb
skrzywdzić,to harm/hurt (once),,perf verb
skrzyżowanie,junction/crossing/crossroads,,n noun
skrócić,to shorten (once),,perf verb
skrót,abbreviation/short-cut,Nie ma skrótu,m noun
skręcać,to twist (repeated),,verb
skręcić,to twist (once),,perf verb
skrępować,to embarrass II (once),,verb
skręt,turn/curl,Nie ma skrętu,m noun
skulić,to hunch (once),,perf verb
skupiać się,to concentrate (repeated),,verb
skupisko,cluster,,n noun
skupić się,to concentrate (once),,perf verb
skusić,to tempt/entice (once),,perf verb
skuteczny,effective,,adjective
skutek,consequence/result/effect,,m noun
skwapliwy,eager II,,adjective
skórzany,leather,,adjective
skądże,not at all,,pronoun
skąpy,miserly/stingy,,adjective
skład,composition,Nie ma składu,m noun
składnia,syntax,,f noun
składnik,component/element/ingredient,,m noun
skłamać,to lie (once),,perf verb
skłonność,tendency/propensity/vulnerability,,f noun
skłonny,prone/susceptible,,adjective
smarkacz,brat/snotnose,,m noun
smarować,to spread/rub/grease/smear (repeated),,verb
smażyć,to fry (repeated),,verb
smucisz się (smucić się),You are saddened,,conjugation
smucić się,to be sad (repeated),,verb
smucę się (smucić się),I am saddened,,conjugation
smukły,slim/slender/willowy,,adjective
smutek,sorrow,,m noun
smycz,lead/leash,,f noun
soczewica,lentil,,f noun
soczewka,lens II,,f noun
soczysty,juicy,,adjective
sonda,opinion poll,,f noun
sosna,pine tree,,f noun
spadać,to fall/drop (repeated),,verb
spadek,fall/drop/decline or inheritance,Nie ma spadku,m noun
spadkobierca,heir/inheritor,,m noun
spadzisty,sloping/steep/precipitous,,adjective
spalać,to burn (repeated),,verb
spalenizna,the smell of burning,,f noun
spalić,to burn (once),,perf verb
spalony,burnt/scorched,,adjective
spasiony,fattened/fat/gross,,adjective
spaść,to fall/drop (once),,perf verb
speszony,shamefaced/abashed,,adjective
spełniać,to fulfil or carry out (repeated),,verb
spełnić,to fulfil or carry out (once),,perf verb
spiczasty,pointed,,adjective
spinka,fastener,Spinka do włosów,f noun
spis,list/census,Nie ma spisu,m noun
spisek,conspiracy/plot,Nie ma spisku,m noun
spiskowiec,conspirator,Nie ma spiskowca,m noun
spiętrzać,to pile up or accumulate (repeated),,verb
spiętrzyć,to pile up or accumulate (once),,perf verb
spięty,uptight,,adjective
spiżarnia,pantry/larder,,f noun
splajtować,to go bust (once),,perf verb
splunąć,to spit at (once),,perf verb
spluwać,to spit at (repeated),,verb
splądrować,to plunder/pillage (once),,perf verb
spoczywać,to lie/rest (repeated),,verb
spocząć,to lie/rest (once),,perf verb
spodziewać się,to expect,,verb
spoglądać,to glance (repeated),,verb
spojrzenie,glance,,n noun
spojrzeć,to glance (once),,perf verb
spontaniczność,spontaneity,,f noun
spontaniczny,spontaneous,,adjective
sporo,a good/great deal,,adverb
sporządzać,to draw/make up (repeated),,verb
sporządzić,to draw/make up (once),,perf verb
sposób,way/method/approach,,m noun
spowiadać,to confess (repeated),,verb
spowiedź,confession,,f noun
spowodować,to cause I (once),,perf verb
spoza,from outside/behind,,preposition
społeczeństwo,society,,n noun
społeczny,social/societal,,adjective
spośród,from among,,preposition
spożycie,consumption/intake,,n noun
spożywać,to eat/consume (repeated),,verb
spożywczy,food/grocery,,adjective
spożyć,to eat/consume (once),,perf verb
spragniony,thirsty,,adjective
sprawca,perpetrator/culprit (male),,m noun
sprawczyni,perpetrator/culprit (female),,f noun
sprawdzać,to check/verify/confirm (repeated),,verb
sprawdzić,to check/verify/confirm (once),,perf verb
sprawiać,to cause II (repeated),,verb
sprawiedliwość,justice,,f noun
sprawić,to cause II (once),,perf verb
sprawować,to perform,,verb
sprawozdanie,report,,n noun
sprowadzać,to fetch (repeated),,verb
sprowadzić,to fetch (once),,perf verb
sprytny,cunning/shrewd,,adjective
sprzeciwiać się komuś/czemuś,to oppose somebody/something (repeated),,verb
sprzeciwić się komuś/czemuś,to oppose somebody/something (once),,perf verb
sprzeczny,conflicting/contradictory,,adjective
sprzed,in front/before,Zdjęcia sprzed wojny,preposition
sprzedawać,to sell (repeated),,verb
sprzedać,to sell (once),,perf verb
sprzedaż,sale,,f noun
sprzeniewierzać,to embezzle/misappropriate (repeated),,verb
sprzeniewierzyć,to embezzle/misappropriate (once),,perf verb
sprzyjać,to favour,,verb
sprzątacz,cleaner,,m noun
sprzątać,to clean (repeated),,verb
sprzątnąć,to clean (once),,perf verb
sprzęt,equipment,Sprzętu sportowego,m noun
spust broni,trigger of a weapon,Nie ma spustu,m noun
spustoszyć,to ravage/desolate (once),,perf verb
spychać,to drive back (repeated),,verb
spód,underside,Nie ma spodu,m noun
spójnik,conjunction,,m noun
spór,dispute,Nie ma sporu,m noun
spółka,company II,,f noun
spóźniać się,to be late (repeated),,verb
spóźnić się,to be late (once),,perf verb
spłacać,to pay off (repeated),,verb
spłacić,to pay off (once),,perf verb
spłaszczać,to flatten (repeated),,verb
spłaszczyć,to flatten (once),,perf verb
spłata,repayment,On ma problemy ze spłatą,f noun
spłoszyć,to startle/scare/spook (once),,perf verb
spłukać,to rinse/flush (once),,perf verb
spłukiwać,to rinse/flush (repeated),,verb
spłynąć,to flow down (once),,perf verb
spływać,to flow down (repeated),,verb
ssak,mammal,,m noun
stacyjka,ignition,,f noun
stadion,stadium,,m noun
stado,herd/pack/flock,,n noun
stajnia,stable,,f noun
stamtąd,from there,,adverb
stan,state/condition,Jaki jest stan pacjenta? (What is the patient's condition?),m noun
stanieć,to become cheaper (once),,perf verb
stanowczo,firmly/flatly/categorically,,adverb
stanowisko,post/position,,n noun
stanowić,to constitute/comprise,,verb
staranny,careful,,adjective
starczać,to suffice (repeated),,verb
starczyć,to suffice (once),,perf verb
starość,old age,,f noun
starożytny,ancient,,adjective
stawać się,to become/happen (repeated),,verb
stać się,to become/happen (once),,perf verb
stały,regular/steady/stable/fixed,,adjective
staż,training/internship,Nie ma stażu,m noun
sterczeć,to stick out or to protrude,,verb
sterta,pile/stack/heap II,,f noun
stocznia,shipyard,,f noun
stodoła,barn,,f noun
stok,slope/hillside,Nie ma stoku,m noun
stolarz,carpenter/joiner,,m noun
stopnieć,to thaw (once),,perf verb
stopniowy,gradual/incremental,,adjective
stos,pile/stack/heap I,Nie ma stosu,m noun
stosunek,relation/attitude,W stosunku do czegoś,m noun
stosunkowy,relative/comparative,,adjective
stowarzyszenie,association/society,,n noun
stołówka,canteen,,f noun
strata,"loss I (e.g. of life, time or money)",,f noun
strawny,digestible,,adjective
strażnica,watchtower,,f noun
strefa,zone,,f noun
streszczać,to summarize (repeated),,verb
streszczenie,summary,,n noun
streścić,to summarize (once),,perf verb
strofa,stanza/verse,,f noun
stromy,steep,,adjective
stroszyć,to ruffle (repeated),,verb
struga,stream,,f noun
strugać,to carve (repeated),,verb
struna,cord/string,,f noun
strych,attic/loft,Nie ma strychu,m noun
strzał,shot,Nie ma strzału,m noun
strzała,arrow (weapon),,f noun
strzałka,arrow (pointer),,f noun
strzec,to guard,,verb
strzegę (strzec),I am guarding,,conjugation
strzelanina,shooting,,f noun
strzelać,to shoot/fire (repeated),,verb
strzelba,shotgun,,f noun
strzelisz (strzelić),You will shoot/fire,,conjugation
strzelić,to shoot/fire (once),,perf verb
strzelnica,shooting range,,f noun
strzelę (strzelić),I will shoot/fire,,conjugation
strzepnąć,to flick/brush (once),,perf verb
strzepujesz (strzepywać),You are flicking/brushing,,conjugation
strzepuję (strzepywać),I am flicking/brushing,,conjugation
strzepywać,to flick/brush (repeated),,verb
strzeżesz (strzec),You are guarding,,conjugation
strzykawka,syringe,,f noun
strzęp,shred/snippet,Nie ma strzępu,m noun
strój,dress/attire,Nie ma stroju,m noun
stróż,watchman,,m noun
strącać,to knock off (repeated),,verb
strącić,to knock off (once),,perf verb
studnia,well,,f noun
stulecie,century/centenary/centennial,,n noun
stwierdzenie,assertion/statement,,n noun
stwierdzić,to assert/claim (once),,perf verb
stworzyć,to create (once),,perf verb
stwórca,creator,,m noun
styczeń,January,,m noun
stygnąć,to cool down (repeated),,verb
stykać się,to adjoin (repeated),,verb
stypendium,bursary/grant,,n noun
stąd,from here,,adverb
stąpać,to tread/step (repeated),,verb
stąpnąć,to tread/step (once),,perf verb
stękać,to moan/groan II (repeated),,verb
stęknąć,to moan/groan II (once),,perf verb
stępiać,to become blunt (repeated),,verb
stępić,to become blunt (once),,perf verb
stęskniony,longing,,adjective
sumienie,conscience,,n noun
sumienny,conscientious,,adjective
surowy,raw/harsh/severe,,adjective
